case,language,type,file,bertscore_model,bertscore_precision,bertscore_recall,bertscore_f1,bleurt,bleurt_source,device_bleurt,device_bertscore
medicine_3,english,original,Case_3_Medicine_English_summary.csv,xlm-roberta-base,1.0,1.0,1.0,0.746316134929657,/Users/alexandradahlberg/hf-models/bleurt-base-128,mps,cpu
medicine_3,english,delete,Case_3_Medicine_English_delete_1.csv,xlm-roberta-base,0.9603261351585388,0.9562348127365112,0.9582761526107788,0.34543290734291077,/Users/alexandradahlberg/hf-models/bleurt-base-128,mps,cpu
medicine_3,english,delete,Case_3_Medicine_English_delete_2.csv,xlm-roberta-base,0.957101583480835,0.9477920532226562,0.9524240493774414,0.053890760987997055,/Users/alexandradahlberg/hf-models/bleurt-base-128,mps,cpu
medicine_3,english,delete,Case_3_Medicine_English_delete_3.csv,xlm-roberta-base,0.954095721244812,0.9408506155014038,0.9474269151687622,0.053890760987997055,/Users/alexandradahlberg/hf-models/bleurt-base-128,mps,cpu
medicine_3,english,modify,Case_3_Medicine_English_summary_mod_1.csv,xlm-roberta-base,0.9775024056434631,0.9748015403747559,0.9761501550674438,0.5986619591712952,/Users/alexandradahlberg/hf-models/bleurt-base-128,mps,cpu
medicine_3,english,modify,Case_3_Medicine_English_summary_mod_2.csv,xlm-roberta-base,0.9854350090026855,0.9845085740089417,0.9849715828895569,0.5986619591712952,/Users/alexandradahlberg/hf-models/bleurt-base-128,mps,cpu
medicine_3,english,modify,Case_3_Medicine_English_summary_mod_3.csv,xlm-roberta-base,0.9639748334884644,0.963531494140625,0.9637531638145447,0.4175928235054016,/Users/alexandradahlberg/hf-models/bleurt-base-128,mps,cpu
medicine_3,english,synonyms,Case_3_Medicine_English_summary_synonyms_1.csv,xlm-roberta-base,0.9885105490684509,0.9894613027572632,0.9889857172966003,0.6787217259407043,/Users/alexandradahlberg/hf-models/bleurt-base-128,mps,cpu
medicine_3,english,synonyms,Case_3_Medicine_English_summary_synonyms_2.csv,xlm-roberta-base,0.9837499856948853,0.9855870604515076,0.9846676588058472,0.6787217259407043,/Users/alexandradahlberg/hf-models/bleurt-base-128,mps,cpu
medicine_3,english,synonyms,Case_3_Medicine_English_summary_synonyms_3.csv,xlm-roberta-base,0.9794536828994751,0.9811893701553345,0.9803207516670227,0.538455069065094,/Users/alexandradahlberg/hf-models/bleurt-base-128,mps,cpu
medicine_4,english,original,Case_4_Medicine_English_summary.csv,xlm-roberta-base,1.0,1.0,1.0,0.8820667862892151,/Users/alexandradahlberg/hf-models/bleurt-base-128,mps,cpu
